trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.1, 'e': 0.5799999999999987}",25,14,-53.555728707333984,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.1, 'e': 0.5599999999999987}",25,12,-74.84832033568115,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
73,False,"{'a': 0.1, 'e': 0.5399999999999987}",20,0,-35.347522871779226,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.5199999999999987}",25,1,-72.79464186253723,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.1, 'e': 0.49999999999999867}",20,0,-136.43560311280257,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
76,False,"{'a': 0.1, 'e': 0.47999999999999865}",30,14,22.592733780863025,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.45999999999999863}",25,19,-1.5105376783630937,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.4399999999999986}",20,0,-4.698558444880549,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.4199999999999986}",25,11,-18.863727155444103,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.3999999999999986}",20,8,-22.684381080336156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.37999999999999856}",20,13,0.7520774731547757,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.35999999999999854}",25,15,-0.888925717490956,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.3399999999999985}",20,2,-50.916024678901515,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
84,False,"{'a': 0.1, 'e': 0.3199999999999985}",25,8,-4.788697303597433,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.2999999999999985}",35,15,-19.617101872195782,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.2799999999999985}",30,17,21.225604267766368,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.25999999999999845}",25,3,8.944001869850627,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.23999999999999846}",25,10,-39.63108858852996,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
89,False,"{'a': 0.1, 'e': 0.21999999999999847}",30,10,-42.625330712268905,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
